component,B0,B1,B1_minus_B0,B1_rel_pct,B2,B2_minus_B0,B2_rel_pct
eps_xx,5.359311804,5.470090599,0.11077879499999987,2.067,5.493764768,0.13445296400000029,2.5088
eps_yy,5.359311804,5.470090598,0.11077879399999979,2.067,5.493764769,0.13445296500000037,2.5088
eps_zz,4.767374042,5.28863072,0.5212566779999994,10.9338,5.328291211,0.5609171689999997,11.7657
eps_xy,0.0,0.0,0.0,,0.0,0.0,
eps_xz,0.0,0.0,0.0,,0.0,0.0,
eps_yz,0.0,0.0,0.0,,0.0,0.0,
